pig_id ,wear_start_1        ,wear_end_1          ,wear_start_2        ,wear_end_2          ,wear_start_3        ,wear_end_3          ,wear_start_4        ,wear_end_4          ,wear_start_5        ,wear_end_5          ,wear_start_6        ,wear_end_6          ,wear_start_7        ,wear_end_7          ,wear_start_8        ,wear_end_8          ,wear_start_9        ,wear_end_9          ,wear_start_10       ,wear_end_10
CO-026 ,7/5/12 15:50,7/5/12 17:55,7/5/12 18:00,7/5/12 22:55,7/6/12 6:45,7/6/12 8:00,7/6/12 8:30,7/6/12 23:30,7/7/12 7:15,7/7/12 10:05,7/7/12 10:50,7/7/12 23:55,7/8/12 8:15,7/8/12 14:30,,,,,,
CO-027 ,4/22/12 11:05,4/22/12 22:00,4/23/12 6:00,4/23/12 22:30,4/24/12 6:30,4/24/12 22:35,4/25/12 5:45,4/25/12 22:00,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-028 ,6/4/12 12:25,6/4/12 23:00,6/5/12 12:00,6/5/12 22:30,6/6/12 8:00,6/6/12 22:00,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-030 ,4/30/12 14:30,5/1/12 9:00,5/1/12 10:00,5/2/12 7:45,5/2/12 9:50,5/3/12 10:25,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-031 ,3/15/12 15:33,3/15/12 23:15,3/16/12 8:50,3/16/12 23:15,3/17/12 9:55,3/17/12 23:15,3/18/12 9:36,3/18/12 15:33,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-032 ,5/21/12 14:30,5/21/12 21:10,5/22/12 7:10,5/22/12 13:00,5/22/12 16:30,5/22/12 21:40,5/23/12 7:05,5/23/12 21:10,5/24/12 7:10,5/24/12 12:00,                    ,                    ,                    ,                    ,                    ,                    ,                    ,,,
CO-035 ,6/7/12 10:50,6/7/12 14:00,6/7/12 17:00,6/7/12 23:00,6/8/12 8:15,6/8/12 14:50,6/8/12 16:40,6/9/12 2:30,6/9/12 10:40,6/9/12 14:00,6/9/12 17:15,6/9/12 22:45,6/10/12 8:20,6/10/12 14:30,,,,,,
CO-037 ,6/11/12 12:10,6/12/12 0:00,6/12/12 16:00,6/13/12 0:00,6/13/12 8:30,6/13/12 23:00,6/14/12 17:15,6/15/12 0:00,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-039 ,6/17/12 13:29,6/17/12 15:15,6/17/12 16:45,6/17/12 22:00,6/18/12 8:45,6/18/12 10:00,6/18/12 12:30,6/18/12 22:30,6/19/12 6:30,6/19/12 17:00,6/20/12 9:30,6/20/12 12:45,                    ,                    ,                    ,,,,,
CO-040 ,6/18/12 11:50,6/19/12 11:50,6/19/12 12:15,6/19/12 22:30,6/20/12 9:30,6/20/12 14:15,6/20/12 17:15,6/20/12 21:22,6/21/12 7:15,6/21/12 9:40,                    ,                    ,                    ,                    ,                    ,                    ,                    ,,,
CO-041 ,7/3/12 13:35,7/4/12 1:30,7/4/12 11:30,7/5/12 1:30,7/5/12 9:30,7/6/12 1:15,7/6/12 9:45,7/6/12 13:00,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
CO-042 ,7/4/12 11:54,7/4/12 23:00,7/5/12 7:30,7/5/12 23:30,7/6/12 9:15,7/6/12 22:30,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
FL-004 ,1/30/11 15:50,1/30/11 23:00,1/31/11 8:00,1/31/11 14:00,1/31/11 16:00,1/31/11 23:00,2/1/11 8:00,2/1/11 14:30,2/1/11 17:00,2/1/11 23:00,2/2/11 8:00,2/2/11 16:00,                    ,                    ,                    ,,,,,
FL-005 ,3/23/11 13:05,3/24/11 0:30,3/24/11 9:00,3/25/11 0:45,3/25/11 10:10,3/25/11 23:25,,,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
FL-006 ,5/8/11 15:07,5/8/11 23:00,5/9/11 6:00,5/9/11 22:30,5/10/11 7:30,5/10/11 10:00,5/10/11 10:30,5/10/11 21:45,5/11/11 9:00,5/11/11 21:30,                    ,                    ,                    ,                    ,                    ,                    ,                    ,,,
FL-007 ,5/15/11 9:45,5/15/11 19:55,5/15/11 20:15,5/15/11 23:10,5/16/11 7:30,5/16/11 19:40,5/16/11 20:00,5/17/11 0:40,5/17/11 7:00,5/17/11 19:40,5/17/11 20:00,5/17/11 22:45,5/18/11 7:10,5/18/11 14:40,5/18/11 15:00,5/18/11 17:00,,,,
FL-008 ,5/22/11 10:30,5/22/11 15:15,5/22/11 17:30,5/22/11 23:30,5/23/11 9:00,5/23/11 13:30,5/23/11 16:00,5/23/11 22:20,5/24/11 10:30,5/24/11 16:30,5/24/11 18:30,5/25/11 00:50,5/25/11 07:40,5/26/11 00:00,                    ,,,,,
FL-009 ,5/24/11 12:40,5/24/11 14:30,5/24/11 14:50,5/25/11 18:30,5/25/11 19:00,5/26/11 15:00,5/26/11 16:00,5/27/11 12:00,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,,
FL-011 ,6/5/11 12:10,6/5/11 15:00,6/5/11 16:30,6/6/11 1:00,6/6/11 9:30,6/6/11 14:00,6/6/11 16:00,6/7/11 1:00,6/7/11 9:00,6/7/11 12:00,6/7/11 13:00,6/8/11 0:30,6/8/11 9:00,6/8/11 14:00,6/8/11 15:30,6/9/11 1:00,                    ,,,
FL-013 ,8/23/11 12:40,8/24/11 10:30,8/24/11 11:00,8/24/11 23:50,8/25/11 8:30,8/25/11 10:00,8/25/11 10:52,8/25/11 23:00,8/26/11 8:30,8/26/11 10:30,8/26/11 10:45,8/26/11 12:40,                    ,                    ,                    ,,,,,
FL-014 ,8/30/11 12:15,8/30/11 23:00,8/31/11 6:30,8/31/11 17:00,8/31/11 17:25,8/31/11 22:10,9/1/11 7:00,9/1/11 12:30,9/1/11 13:00,9/1/11 22:10,9/2/11 7:00,9/2/11 12:40,9/2/11 13:10,9/2/11 22:20,,,,,,
FL-016 ,9/14/11 14:22,9/15/11 20:00,9/16/11 6:00,9/16/11 8:15,9/16/11 9:00,9/17/11 7:00,9/17/11 7:40,9/17/11 23:00,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,,,
FL-018 ,9/21/11 10:15,9/21/11 18:20,9/21/11 18:35,9/23/11 21:50,9/23/11 22:10,9/24/11 10:00,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,,
FL-019 ,10/5/11 13:00,10/5/11 22:00,10/6/11 8:15,10/6/11 21:30,10/7/11 8:45,10/7/11 15:00,10/7/11 15:25,10/7/11 21:00,10/8/11 8:30,10/8/11 13:30,                    ,                    ,                    ,                    ,                    ,                    ,                    ,,,
FL-022 ,10/24/11 15:10,10/27/11 9:15,10/27/11 9:45,10/27/11 15:15,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
FL-023 ,11/6/11 11:30,11/7/11 20:00,11/7/11 20:30,11/8/11 8:00,11/8/11 8:30,11/9/11 6:30,11/9/11 7:00,11/10/11 0:00,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,,
FL-025 ,11/21/11 14:00,11/21/11 22:10,11/22/11 7:00,11/22/11 17:00,11/22/11 18:00,11/22/11 22:30,11/23/11 8:00,11/23/11 22:30,11/24/11 7:00,11/24/11 21:45,                    ,                    ,                    ,                    ,                    ,                    ,                    ,,,
FL-031 ,4/23/12 12:45,4/23/12 21:30,4/24/12 6:30,4/24/12 21:30,4/25/12 9:30,4/25/12 22:16,4/26/12 9:30,4/26/12 12:00,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
FL-033 ,6/4/12 12:33,6/4/12 22:55,6/5/12 6:05,6/5/12 13:50,6/5/12 15:00,6/5/12 22:50,6/6/12 5:30,6/6/12 10:00,6/6/12 12:45,6/6/12 15:45,6/6/12 17:15,6/6/12 22:35,6/7/12 7:00,6/7/12 8:00,                    ,,,,,
FL-035 ,6/21/12 9:00,6/21/12 20:00,6/22/12 6:20,6/22/12 18:45,6/22/12 19:00,6/23/12 0:45,6/23/12 8:40,6/23/12 18:45,6/23/12 19:00,6/23/12 22:30,                    ,                    ,                    ,                    ,                    ,,,,,
FL-036 ,7/4/12 9:59,7/5/12 00:30,7/5/12 7:40,7/6/12 00:26,7/6/12 7:10,7/6/12 15:30,7/6/12 15:35,7/6/12 23:30,7/7/12 8:57,7/7/12 13:25,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,
