pig_id ,serial_number ,remarks            ,day   ,date       ,start_time          ,end_time            ,took_off            ,put_on
CO-001 ,2088          ,47h                ,day_0 ,2012-05-22 ,2012-05-22 12:42:00 ,                    ,2012-05-22 9:00:00  ,2012-05-22 10:30:00
CO-002 ,2075          ,75h                ,day_0 ,2012-05-22 ,2012-05-22 13:31:00 ,                    ,                    ,
CO-003 ,2017          ,75h                ,day_0 ,2010-03-14 ,2010-03-14 14:00:00 ,                    ,                    ,
CO-004 ,1007          ,                   ,day_0 ,2010-08-16 ,2010-08-16 13:58:00 ,2010-08-16 23:00:00 ,                    ,
CO-005 ,2007 (1001)   ,                   ,day_0 ,2010-10-20 ,2010-10-20 11:10:00 ,                    ,2010-10-20 22:45:00 ,2010-10-20 23:15:00
CO-006 ,2018 (1002)   ,                   ,day_0 ,2010-11-01 ,2010-11-01 12:45:00 ,2010-11-01 23:30:00 ,                    ,
CO-007 ,2028 (1005)   ,                   ,day_0 ,2010-11-15 ,2010-11-15 11:32:00 ,                    ,                    ,
CO-008 ,2007 (1001)   ,                   ,day_0 ,2010-12-12 ,2010-12-12 11:20:00 ,                    ,2010-12-12 12:20:00 ,2010-12-12 12:50:00
CO-009 ,2018 (1002)   ,                   ,day_0 ,2010-12-27 ,2010-12-27 11:34:00 ,                    ,                    ,
CO-010 ,2120 (1006)   ,                   ,day_0 ,2011-01-05 ,2011-01-05 12:59:00 ,                    ,2011-01-05 14:30:00 ,2011-01-05 16:00:00
CO-011 ,2018 (1002)   ,                   ,day_0 ,2011-01-09 ,2011-01-09 12:00:00 ,2011-01-09 00:00:00 ,                    ,
CO-012 ,2007 (1001)   ,                   ,day_0 ,2011-01-25 ,2011-01-25 11:34:00 ,                    ,                    ,
CO-013 ,2027          ,                   ,day_0 ,2012-06-03 ,2012-06-03 11:20:00 ,2012-06-03 22:00:00 ,                    ,
CO-014 ,2028 (1005)   ,                   ,day_0 ,2011-02-15 ,2011-02-15 13:13:00 ,                    ,2011-02-15 19:35:00 ,2011-02-15 20:00:00
CO-015 ,2028 (1005)   ,                   ,day_0 ,2011-03-09 ,2011-03-09 12:12:00 ,                    ,2011-03-09 23:10:00 ,2011-03-09 23:30:00
CO-016 ,2028 (1005)   ,65h                ,day_0 ,2011-03-22 ,2011-03-22 15:40:00 ,2011-03-22 01:00:00 ,                    ,
CO-017 ,2088          ,75h                ,day_0 ,2011-05-15 ,2011-05-15 15:45:00 ,2011-05-15 22:00:00 ,                    ,
CO-019 ,2028 (1005)   ,                   ,day_0 ,2011-07-05 ,2011-07-05 12:45:00 ,                    ,                    ,
CO-020 ,2130          ,                   ,day_0 ,2011-07-05 ,2011-07-05 12:50:00 ,                    ,                    ,
