pig_id,day,start_time,end_time,took_off,put_on
CO-001,day_0,2012-05-22 12:42:00,,2012-05-22 9:00:00,2012-05-22 10:30:00
CO-001,day_1,,,2012-05-22 10:05:00,
CO-001,day_2,,,2012-05-22 12:30:00,
CO-001,day_3,,,2012-05-22 11:45:00,2012-05-22 13:00:00
CO-002,day_0,2012-05-22 13:31:00,,,
CO-002,day_1,,,2012-05-22 10:30:00,
CO-002,day_2,,,2012-05-22 09:30:00,
CO-002,day_3,,,2012-05-22 10:30:00,2012-05-22 13:00:00
CO-003,day_0,2010-03-14 14:00:00,,,
CO-003,day_3,,,,2010-03-14 10:30:00
CO-004,day_0,2010-08-16 13:58:00,2010-08-16 23:00:00,,
CO-004,day_1,,,,2010-08-16 23:00:00
CO-004,day_2,,,,2010-08-16 23:00:00
CO-004,day_3,,,,2010-08-16 14:00:00
CO-005,day_0,2010-10-20 11:10:00,,2010-10-20 22:45:00,2010-10-20 23:15:00
CO-005,day_1,,,2010-10-20 22:50:00,
CO-005,day_3,,,,2010-10-20 10:40:00
CO-006,day_0,2010-11-01 12:45:00,2010-11-01 23:30:00,,
CO-006,day_1,,,2010-11-01 18:45:00,2010-11-01 00:30:00
CO-006,day_2,,,,2010-11-01 22:50:00
CO-006,day_3,,,,2010-11-01 13:15:00
CO-007,day_0,2010-11-15 11:32:00,,,
CO-007,day_1,,,2010-11-15 15:45:00,
CO-007,day_2,,,2010-11-15 12:15:00,
CO-007,day_3,,,,2010-11-15 12:00:00
CO-008,day_0,2010-12-12 11:20:00,,2010-12-12 12:20:00,2010-12-12 12:50:00
CO-008,day_1,,,2010-12-12 12:15:00,
CO-008,day_2,,,2010-12-12 15:00:00,
CO-008,day_3,,,2010-12-12 10:00:00,2010-12-12 12:00:00
CO-009,day_0,2010-12-27 11:34:00,,,
CO-009,day_2,,,2010-12-27 09:00:00,
CO-009,day_3,,,2010-12-27 00:10:00,2010-12-27 12:00:00
CO-010,day_0,2011-01-05 12:59:00,,2011-01-05 14:30:00,2011-01-05 16:00:00
CO-010,day_2,,,,2011-01-05 23:30:00
CO-010,day_3,,,2011-01-05 10:10:00,2011-01-05 13:00:00
CO-011,day_0,2011-01-09 12:00:00,2011-01-09 00:00:00,,
CO-011,day_1,,,,2011-01-09 00:30:00
CO-011,day_2,,,,2011-01-09 00:30:00
CO-011,day_3,,,,2011-01-09 11:15:00
CO-012,day_0,2011-01-25 11:34:00,,,
CO-012,day_1,,,2011-01-25 10:35:00,
CO-012,day_2,,,2011-01-25 10:30:00,
CO-012,day_3,,,2011-01-25 09:00:00,2011-01-25 12:30:00
CO-013,day_0,2012-06-03 11:20:00,2012-06-03 22:00:00,,
CO-013,day_1,,,2012-06-03 11:15:00,2012-06-03 22:30:00
CO-013,day_2,,,,2012-06-03 23:45:00
CO-013,day_3,,,2012-06-03 11:15:00,2012-06-03 04:45:00
CO-014,day_0,2011-02-15 13:13:00,,2011-02-15 19:35:00,2011-02-15 20:00:00
CO-014,day_3,,,2011-02-15 09:30:00,2011-02-15 13:30:00
CO-015,day_0,2011-03-09 12:12:00,,2011-03-09 23:10:00,2011-03-09 23:30:00
CO-015,day_1,,,2011-03-09 21:00:00,
CO-015,day_2,,,2011-03-09 21:00:00,
CO-015,day_3,,,2011-03-09 16:00:00,
