pig_id ,day   ,start_time ,take_off                                    ,put_on        ,end_time
CO-015 ,day_2 ,           ,20:30:00                                    ,21:00:00      ,
CO-015 ,day_3 ,           ,15:00:00                                    ,16:00:00      ,8:00 -day4
CO-016 ,day_0 ,15:40:00   ,                                            ,              ,01:00:00
CO-016 ,day_1 ,10:30:00   ,                                            ,              ,01:00:00
CO-016 ,day_2 ,09:45:00   ,                                            ,              ,00:45:00
CO-016 ,day_3 ,09:30:00   ,                                            ,              ,15:30:00
CO-017 ,day_0 ,15:45:00   ,                                            ,              ,22:00:00
CO-017 ,day_1 ,10:10:00   ,16:00-17:30 rest                            ,17:30:00      ,1900-01-01 00:00:00
CO-017 ,day_2 ,09:00:00   ,14:15-15:30 rest                            ,15:30:00      ,22:35:00
CO-017 ,day_3 ,10:30:00   ,                                            ,              ,16:00:00
CO-019 ,day_0 ,12:45:00   ,                                            ,              ,
CO-019 ,day_1 ,           ,16:30:00                                    ,17:30:00      ,
CO-019 ,day_2 ,           ,11:00:00                                    ,11:30:00      ,
CO-019 ,day_3 ,           ,                                            ,              ,13:00:00
CO-020 ,day_0 ,12:50:00   ,                                            ,              ,
CO-020 ,day_1 ,           ,08:30:00                                    ,09:00:00      ,22:00:00
CO-020 ,day_2 ,07:00:00   ,10:30:00                                    ,11:15:00      ,22:15:00
CO-020 ,day_3 ,06:30:00   ,08:30:00                                    ,09:00:00      ,13:00:00
CO-021 ,day_0 ,12:50:00   ,17:50:00                                    ,19:20:00      ,22:05:00
CO-021 ,day_1 ,08:15:00   ,12:35 rest                                  ,17:10:00      ,21:50:00
CO-021 ,day_2 ,08:25:00   ,13:40:00                                    ,16:50:00      ,22:15:00
CO-021 ,day_3 ,07:50:00   ,                                            ,              ,13:00:00
CO-022 ,day_0 ,11:10:00   ,                                            ,              ,21:30:00
CO-022 ,day_1 ,06:30:00   ,17:15 shower                                ,18:00:00      ,21:30:00
CO-022 ,day_2 ,07:00:00   ,18:00-18:30 shower                          ,              ,21:30:00
CO-022 ,day_3 ,06:45:00   ,                                            ,              ,11:20:00
CO-023 ,day_0 ,14:25:00   ,                                            ,              ,00:30:00
CO-023 ,day_1 ,06:30:00   ,                                            ,              ,00:30:00
CO-023 ,day_2 ,07:30:00   ,                                            ,              ,01:30:00
CO-023 ,day_3 ,07:30:00   ,                                            ,              ,16:30:00
CO-024 ,day_0 ,13:40:00   ,                                            ,              ,
CO-024 ,day_1 ,           ,                                            ,              ,19:25:00
CO-024 ,day_2 ,           ,                                            ,              ,
CO-024 ,day_3 ,           ,                                            ,              ,
CO-026 ,day_0 ,15:50:00   ,17:55:00                                    ,18:00:00      ,22:55:00
CO-026 ,day_1 ,06:45:00   ,08:00:00                                    ,08:30:00      ,23:30:00
CO-026 ,day_2 ,07:15:00   ,10:05:00                                    ,10:50:00      ,23:55:00
CO-026 ,day_3 ,08:15:00   ,                                            ,              ,14:30:00
CO-027 ,day_0 ,11:05:00   ,                                            ,              ,22:00:00
CO-027 ,day_1 ,06:00:00   ,                                            ,              ,22:30:00
CO-027 ,day_2 ,06:30:00   ,                                            ,              ,22:35:00
CO-027 ,day_3 ,05:45:00   ,                                            ,              ,22:00:00
CO-028 ,day_0 ,12:25:00   ,                                            ,              ,23:00:00
CO-028 ,day_1 ,12:00:00   ,                                            ,              ,22:30:00
CO-028 ,day_2 ,08:00:00   ,                                            ,              ,22:00:00
CO-028 ,day_3 ,?          ,                                            ,              ,?
CO-029 ,day_0 ,13:00?     ,                                            ,              ,
CO-029 ,day_1 ,           ,                                            ,              ,
CO-029 ,day_2 ,           ,                                            ,              ,
CO-029 ,day_3 ,           ,                                            ,              ,
CO-030 ,day_0 ,14:30:00   ,                                            ,              ,slept with it
CO-030 ,day_1 ,           ,09:00:00                                    ,10:00:00      ,slept with it
CO-030 ,day_2 ,           ,07:45:00                                    ,09:50:00      ,slept with it
CO-030 ,day_3 ,           ,                                            ,              ,10:25:00
CO-031 ,day_0 ,15:33:00   ,                                            ,              ,23:15:00
CO-031 ,day_1 ,08:50:00   ,                                            ,              ,23:15:00
CO-031 ,day_2 ,09:55:00   ,                                            ,              ,23:15:00
CO-031 ,day_3 ,09:36:00   ,                                            ,              ,15:33:00
CO-032 ,day_0 ,14:30:00   ,                                            ,              ,21:10:00
CO-032 ,day_1 ,07:10:00   ,13:00:00                                    ,16:30:00      ,21:40:00
CO-032 ,day_2 ,07:05:00   ,                                            ,              ,21:10:00
CO-032 ,day_3 ,07:10:00   ,                                            ,              ,12:00:00
CO-035 ,day_0 ,10:50:00   ,14:00 rest                                  ,17:00:00      ,23:00:00
CO-035 ,day_1 ,08:15:00   ,14:50:00                                    ,16:40:00      ,02:30:00
CO-035 ,day_2 ,10:40:00   ,14:00 rest                                  ,17:15:00      ,22:45:00
CO-035 ,day_3 ,08:20:00   ,                                            ,              ,14:30:00
CO-036 ,day_0 ,?          ,                                            ,              ,15:00:00
CO-036 ,day_1 ,10:30:00   ,13:00:00                                    ,18:00:00      ,01:00:00
CO-036 ,day_2 ,10:00:00   ,14:00:00                                    ,15:00:00      ,22:00:00
CO-036 ,day_3 ,10:00:00   ,                                            ,              ,14:00:00
CO-037 ,day_0 ,12:10:00   ,                                            ,              ,00:00:00
CO-037 ,day_1 ,16:00:00   ,                                            ,              ,00:00:00
CO-037 ,day_2 ,08:30:00   ,                                            ,              ,23:00:00
CO-037 ,day_3 ,17:15:00   ,                                            ,              ,00:00:00
CO-039 ,day_0 ,13:29:00   ,15:15:00                                    ,16:45:00      ,22:00:00
CO-039 ,day_1 ,08:45:00   ,10:00:00                                    ,12:30:00      ,22:30:00
CO-039 ,day_2 ,06:30:00   ,                                            ,              ,17:00:00
CO-039 ,day_3 ,09:30:00   ,                                            ,              ,12:45:00
CO-040 ,day_0 ,11:50:00   ,                                            ,              ,slept with hybrid
CO-040 ,day_1 ,           ,11:50 shower                                ,12:15:00      ,22:30:00
CO-040 ,day_2 ,09:30:00   ,14:15 nap                                   ,17:15:00      ,21:22:00
CO-040 ,day_3 ,07:15:00   ,                                            ,              ,11:50:00
CO-041 ,day_0 ,13:35:00   ,                                            ,              ,01:30:00
CO-041 ,day_1 ,11:30:00   ,                                            ,              ,01:30:00
CO-041 ,day_2 ,09:30:00   ,                                            ,              ,01:15:00
CO-041 ,day_3 ,09:45:00   ,                                            ,              ,13:00:00
CO-042 ,day_0 ,11:54:00   ,                                            ,              ,23:00:00
CO-042 ,day_1 ,07:30:00   ,                                            ,              ,23:30:00
CO-042 ,day_2 ,09:15:00   ,                                            ,              ,22:30:00
CO-042 ,day_3 ,           ,                                            ,              ,
