pig_id ,serial_number ,remarks            ,day   ,date       ,event_type ,time     ,timestamp           ,events
CO-031 ,2086          ,75h                ,day_0 ,2012-03-15 ,start_time ,15:33:00 ,2012-03-15T15:33:00 ,
CO-031 ,2086          ,75h                ,day_0 ,2012-03-15 ,end_time   ,23:15:00 ,2012-03-15T23:15:00 ,
CO-032 ,2086          ,75h                ,day_0 ,2012-05-21 ,start_time ,14:30:00 ,2012-05-21T14:30:00 ,
CO-032 ,2086          ,75h                ,day_0 ,2012-05-21 ,end_time   ,21:10:00 ,2012-05-21T21:10:00 ,
CO-035 ,2087          ,73:22h             ,day_0 ,2012-06-07 ,start_time ,10:50:00 ,2012-06-07T10:50:00 ,
CO-035 ,2087          ,73:22h             ,day_0 ,2012-06-07 ,put_on     ,17:00:00 ,2012-06-07T17:00:00 ,
CO-035 ,2087          ,73:22h             ,day_0 ,2012-06-07 ,end_time   ,23:00:00 ,2012-06-07T23:00:00 ,
CO-036 ,2018          ,72:53h             ,day_0 ,2012-06-07 ,end_time   ,15:00:00 ,2012-06-07T15:00:00 ,
CO-037 ,2027          ,71:25h             ,day_0 ,2012-06-11 ,start_time ,12:10:00 ,2012-06-11T12:10:00 ,
CO-037 ,2027          ,71:25h             ,day_0 ,2012-06-11 ,end_time   ,00:00:00 ,2012-06-11T00:00:00 ,
CO-039 ,2075          ,73:14h             ,day_0 ,2012-06-17 ,start_time ,13:29:00 ,2012-06-17T13:29:00 ,
CO-039 ,2075          ,73:14h             ,day_0 ,2012-06-17 ,took_off   ,15:15:00 ,2012-06-17T15:15:00 ,
CO-039 ,2075          ,73:14h             ,day_0 ,2012-06-17 ,put_on     ,16:45:00 ,2012-06-17T16:45:00 ,
CO-039 ,2075          ,73:14h             ,day_0 ,2012-06-17 ,end_time   ,22:00:00 ,2012-06-17T22:00:00 ,
CO-040 ,2055          ,75:45h             ,day_0 ,2012-06-18 ,start_time ,11:50:00 ,2012-06-18T11:50:00 ,
CO-041 ,2075          ,75h                ,day_0 ,2012-07-03 ,start_time ,13:35:00 ,2012-07-03T13:35:00 ,
CO-041 ,2075          ,75h                ,day_0 ,2012-07-03 ,end_time   ,01:30:00 ,2012-07-03T01:30:00 ,
CO-042 ,2018          ,75h                ,day_0 ,2012-07-04 ,start_time ,11:54:00 ,2012-07-04T11:54:00 ,
CO-042 ,2018          ,75h                ,day_0 ,2012-07-04 ,end_time   ,23:00:00 ,2012-07-04T23:00:00 ,
FL-003 ,2018 (1002)   ,                   ,day_0 ,2010-07-21 ,start_time ,12:02:00 ,2010-07-21T12:02:00 ,
FL-003 ,2086          ,72:50h             ,day_0 ,2012-06-17 ,start_time ,09:38:00 ,2012-06-17T09:38:00 ,11:06-11:12 home exercises
FL-003 ,2086          ,72:50h             ,day_0 ,2012-06-17 ,put_on     ,17:25:00 ,2012-06-17T17:25:00 ,11:06-11:12 home exercises
FL-003 ,2086          ,72:50h             ,day_0 ,2012-06-17 ,end_time   ,23:15:00 ,2012-06-17T23:15:00 ,11:06-11:12 home exercises
FL-004 ,2027 (1004)   ,                   ,day_0 ,2011-01-30 ,start_time ,15:50:00 ,2011-01-30T15:50:00 ,
FL-004 ,2027 (1004)   ,                   ,day_0 ,2011-01-30 ,end_time   ,23:00:00 ,2011-01-30T23:00:00 ,
FL-005 ,2007 (1001)   ,67:19h             ,day_0 ,2011-03-23 ,start_time ,13:05:00 ,2011-03-23T13:05:00 ,
FL-005 ,2007 (1001)   ,67:19h             ,day_0 ,2011-03-23 ,end_time   ,00:30:00 ,2011-03-23T00:30:00 ,
FL-006 ,2027 (1004)   ,75h                ,day_0 ,2011-05-08 ,start_time ,15:07:00 ,2011-05-08T15:07:00 ,
FL-006 ,2027 (1004)   ,75h                ,day_0 ,2011-05-08 ,end_time   ,23:00:00 ,2011-05-08T23:00:00 ,
FL-007 ,2130          ,75h                ,day_0 ,2011-05-15 ,start_time ,09:45:00 ,2011-05-15T09:45:00 ,
FL-007 ,2130          ,75h                ,day_0 ,2011-05-15 ,put_on     ,20:15:00 ,2011-05-15T20:15:00 ,
FL-007 ,2130          ,75h                ,day_0 ,2011-05-15 ,end_time   ,23:10:00 ,2011-05-15T23:10:00 ,
FL-008 ,2018 (1002)   ,"Came to the lab
                       still flickering " ,day_0 ,2011-05-22 ,start_time ,10:30:00 ,2011-05-22T10:30:00 ,
FL-008 ,2018 (1002)   ,"Came to the lab
                       still flickering " ,day_0 ,2011-05-22 ,put_on     ,17:30:00 ,2011-05-22T17:30:00 ,
FL-008 ,2018 (1002)   ,"Came to the lab
                       still flickering " ,day_0 ,2011-05-22 ,end_time   ,23:30:00 ,2011-05-22T23:30:00 ,
FL-009 ,2027 (1004)   ,67h                ,day_0 ,2011-05-24 ,start_time ,12:40:00 ,2011-05-24T12:40:00 ,
FL-009 ,2027 (1004)   ,67h                ,day_0 ,2011-05-24 ,put_on     ,14:50:00 ,2011-05-24T14:50:00 ,
FL-011 ,2088          ,                   ,day_0 ,2011-06-05 ,start_time ,12:10:00 ,2011-06-05T12:10:00 ,
FL-011 ,2088          ,                   ,day_0 ,2011-06-05 ,put_on     ,16:30:00 ,2011-06-05T16:30:00 ,
FL-011 ,2088          ,                   ,day_0 ,2011-06-05 ,end_time   ,01:00:00 ,2011-06-05T01:00:00 ,
FL-013 ,2130          ,75h                ,day_0 ,2011-08-23 ,start_time ,12:40:00 ,2011-08-23T12:40:00 ,
FL-014 ,2130          ,75h                ,day_0 ,2011-08-30 ,start_time ,12:15:00 ,2011-08-30T12:15:00 ,
FL-014 ,2130          ,75h                ,day_0 ,2011-08-30 ,end_time   ,23:00:00 ,2011-08-30T23:00:00 ,
FL-016 ,2087          ,75h                ,day_0 ,2011-09-14 ,start_time ,14:22:00 ,2011-09-14T14:22:00 ,
FL-017 ,2086          ,75h                ,day_0 ,2011-12-18 ,took_off   ,22:30:00 ,2011-12-18T22:30:00 ,
FL-017 ,2086          ,75h                ,day_0 ,2011-12-18 ,put_on     ,23:00:00 ,2011-12-18T23:00:00 ,
FL-018 ,2130          ,73:36h             ,day_0 ,2011-09-21 ,start_time ,10:15:00 ,2011-09-21T10:15:00 ,
FL-018 ,2130          ,73:36h             ,day_0 ,2011-09-21 ,took_off   ,18:20:00 ,2011-09-21T18:20:00 ,
FL-018 ,2130          ,73:36h             ,day_0 ,2011-09-21 ,put_on     ,18:35:00 ,2011-09-21T18:35:00 ,
FL-019 ,2132          ,75h                ,day_0 ,2011-10-05 ,start_time ,13:00:00 ,2011-10-05T13:00:00 ,
FL-019 ,2132          ,75h                ,day_0 ,2011-10-05 ,end_time   ,22:00:00 ,2011-10-05T22:00:00 ,
FL-021 ,2087          ,                   ,day_0 ,2011-10-31 ,start_time ,14:27:00 ,2011-10-31T14:27:00 ,DID NOT TAKE IT OFF UNTIL DAY 4
FL-022 ,2087          ,                   ,day_0 ,2011-10-24 ,start_time ,15:10:00 ,2011-10-24T15:10:00 ,DID NOT TAKE IT OFF UNTIL DAY 4
FL-023 ,2130          ,                   ,day_0 ,2011-11-06 ,start_time ,11:30:00 ,2011-11-06T11:30:00 ,
FL-025 ,2087          ,75h                ,day_0 ,2011-11-21 ,start_time ,14:00:00 ,2011-11-21T14:00:00 ,
FL-025 ,2087          ,75h                ,day_0 ,2011-11-21 ,end_time   ,22:10:00 ,2011-11-21T22:10:00 ,
FL-026 ,2007          ,69h                ,day_0 ,2011-12-05 ,took_off   ,15:00:00 ,2011-12-05T15:00:00 ,
FL-026 ,2007          ,69h                ,day_0 ,2011-12-05 ,put_on     ,16:00:00 ,2011-12-05T16:00:00 ,
FL-026 ,2007          ,69h                ,day_0 ,2011-12-05 ,end_time   ,21:30:00 ,2011-12-05T21:30:00 ,
FL-027 ,2086          ,75h                ,day_0 ,2012-01-08 ,start_time ,10:30:00 ,2012-01-08T10:30:00 ,
FL-031 ,2120          ,                   ,day_0 ,2012-04-23 ,start_time ,12:45:00 ,2012-04-23T12:45:00 ,
FL-031 ,2120          ,                   ,day_0 ,2012-04-23 ,end_time   ,21:30:00 ,2012-04-23T21:30:00 ,
FL-033 ,2086          ,                   ,day_0 ,2012-06-04 ,start_time ,12:33:00 ,2012-06-04T12:33:00 ,
FL-033 ,2086          ,                   ,day_0 ,2012-06-04 ,end_time   ,22:55:00 ,2012-06-04T22:55:00 ,
FL-035 ,2075          ,75h                ,day_0 ,2012-06-21 ,start_time ,09:00:00 ,2012-06-21T09:00:00 ,put on 14:00
FL-035 ,2075          ,75h                ,day_0 ,2012-06-21 ,end_time   ,20:00:00 ,2012-06-21T20:00:00 ,put on 14:00
FL-036 ,2086          ,72:03h             ,day_0 ,2012-07-04 ,start_time ,09:59:00 ,2012-07-04T09:59:00 ,
FL-036 ,2086          ,72:03h             ,day_0 ,2012-07-04 ,took_off   ,12:30:00 ,2012-07-04T12:30:00 ,
