pig_id,day,start_time,take_off,put_on,end_time,date,start,took_off
CO-028,day_0,,,,23:00:00,2012-06-04 00:00:00,12:25:00,
CO-028,day_1,12:00:00,,,22:30:00,,,
CO-028,day_2,08:00:00,,,22:00:00,,,
CO-028,day_3,?,,,?,,,
CO-029,day_0,,,,,2011-08-14 00:00:00,13:00?,
CO-029,day_1,,,,,,,
CO-029,day_2,,,,,,,
CO-029,day_3,,,,,,,
CO-030,day_0,,,,slept with it,2012-04-30 00:00:00,14:30:00,
CO-030,day_1,,,10:00:00,slept with it,,,09:00:00
CO-030,day_2,,,09:50:00,slept with it,,,07:45:00
CO-030,day_3,,,,10:25:00,,,
CO-031,day_0,,,,23:15:00,15/03/2012,15:33:00,
CO-031,day_1,08:50:00,,,23:15:00,,,
CO-031,day_2,09:55:00,,,23:15:00,,,
CO-031,day_3,09:36:00,,,15:33:00,,,
CO-032,day_0,,,,21:10:00,2012-05-21 00:00:00,14:30:00,
CO-032,day_1,07:10:00,,16:30:00,21:40:00,,,13:00:00
CO-032,day_2,07:05:00,,,21:10:00,,,
CO-032,day_3,07:10:00,,,12:00:00,,,
CO-035,day_0,,,17:00:00,23:00:00,2012-06-07 00:00:00,10:50:00,14:00 rest
CO-035,day_1,08:15:00,,16:40:00,02:30:00,,,14:50:00
CO-035,day_2,10:40:00,,17:15:00,22:45:00,,,14:00 rest
CO-035,day_3,08:20:00,,,14:30:00,,,
CO-036,day_0,,,,15:00:00,2012-06-07 00:00:00,?,
CO-036,day_1,10:30:00,,18:00:00,01:00:00,,,13:00:00
CO-036,day_2,10:00:00,,15:00:00,22:00:00,,,14:00:00
CO-036,day_3,10:00:00,,,14:00:00,,,
CO-037,day_0,,,,00:00:00,2012-06-11 00:00:00,12:10:00,
CO-037,day_1,16:00:00,,,00:00:00,,,
CO-037,day_2,08:30:00,,,23:00:00,,,
CO-037,day_3,17:15:00,,,00:00:00,,,
CO-039,day_0,,,16:45:00,22:00:00,2012-06-17 00:00:00,13:29:00,15:15:00
CO-039,day_1,08:45:00,,12:30:00,22:30:00,,,10:00:00
CO-039,day_2,06:30:00,,,17:00:00,,,
CO-039,day_3,09:30:00,,,12:45:00,,,
CO-040,day_0,,,,slept with hybrid,2012-06-18 00:00:00,11:50:00,
CO-040,day_1,,,12:15:00,22:30:00,,,11:50 shower
CO-040,day_2,09:30:00,,17:15:00,21:22:00,,,14:15 nap
CO-040,day_3,07:15:00,,,11:50:00,,,
CO-041,day_0,,,,01:30:00,2012-07-03 00:00:00,13:35:00,
CO-041,day_1,11:30:00,,,01:30:00,,,
CO-041,day_2,09:30:00,,,01:15:00,,,
CO-041,day_3,09:45:00,,,13:00:00,,,
CO-042,day_0,,,,23:00:00,2012-07-04 00:00:00,11:54:00,
CO-042,day_1,07:30:00,,,23:30:00,,,
CO-042,day_2,09:15:00,,,22:30:00,,,
CO-042,day_3,,,,,,,
