pig_id,day,start_time,take_off,put_on,end_time
CO-001,day_0,2012-05-22 12:42:00,2012-05-22 09:00:00?,2012-05-22 10:30:00?,
CO-001,day_1,,2012-05-23 08:30:00 - swimming and shower,2012-05-23 10:05:00,
CO-001,day_2,,2012-05-24 11:00:00 - swimming and shower,2012-05-24 12:30:00,
CO-001,day_3,,2012-05-25 10:00:00,2012-05-25 11:45:00,2012-05-25 13:00:00
CO-002,day_0,2012-05-22 13:31:00,,,
CO-002,day_1,,2012-05-23 10:00:00,2012-05-23 10:30:00,
CO-002,day_2,,2012-05-24 09:00:00,2012-05-24 09:30:00,
CO-002,day_3,,2012-05-25 10:00:00,2012-05-25 10:30:00,2012-05-25 13:00:00
CO-003,day_0,2010-03-14 14:00:00,,,slept with it
CO-003,day_1,,,,slept with it
CO-003,day_2,,sometime in the evening,,slept with it
CO-003,day_3,,,,2010-03-17 10:30:00
CO-004,day_0,2010-08-16 13:58:00,,,2010-08-16 23:00:00
CO-004,day_1,2010-08-17 09:10:00,,,2010-08-17 23:00:00
CO-004,day_2,2010-08-18 09:00:00,,,2010-08-18 23:00:00
CO-004,day_3,2010-08-19 09:00:00,,,2010-08-19 14:00:00
CO-005,day_0,2010-10-20 11:10:00,22:45 shower,2010-10-20 23:15:00,
CO-005,day_1,,22:20 shower,2010-10-21 22:50:00,
CO-005,day_2,,10:10 shower; 22:43 rest,10:45 ; 22:57,
CO-005,day_3,,,,2010-10-23 10:40:00
CO-006,day_0,2010-11-01 12:45:00,,,2010-11-01 23:30:00
CO-006,day_1,2010-11-02 07:20:00,18:15 shower,2010-11-02 18:45:00,2010-11-02 00:30:00
CO-006,day_2,2010-11-03 06:00:00,,,2010-11-03 22:50:00
CO-006,day_3,2010-11-04 06:20:00,,,2010-11-04 13:15:00
CO-007,day_0,2010-11-15 11:32:00,,,
CO-007,day_1,,15:23 US test,2010-11-16 15:45:00,
CO-007,day_2,,11:55 shower,2010-11-17 12:15:00,
CO-007,day_3,,,,2010-11-18 12:00:00
CO-008,day_0,2010-12-12 11:20:00,12:20 shower,2010-12-12 12:50:00,
CO-008,day_1,,8:30 shower+med examination,2010-12-13 12:15:00,
CO-008,day_2,,? med examination,2010-12-14 15:00:00,
CO-008,day_3,,08:30 shower,2010-12-15 10:00:00,2010-12-15 12:00:00
CO-009,day_0,2010-12-27 11:34:00,,,
CO-009,day_1,,,,
CO-009,day_2,,8:14 shower,2010-12-29 09:00:00,
CO-009,day_3,,"7:20-8:20 shower, 18:30 date",2010-12-30 00:10:00,2010-12-30 12:00:00
CO-010,day_0,2011-01-05 12:59:00,14:30 rest,2011-01-05 16:00:00,
CO-010,day_1,,,,
CO-010,day_2,,6:45-10:10 sport,,2011-01-07 23:30:00
CO-010,day_3,2011-01-08 06:30:00,7:00 sport,2011-01-08 10:10:00,2011-01-08 13:00:00
CO-011,day_0,2011-01-09 12:00:00,,,2011-01-09 00:00:00
CO-011,day_1,2011-01-10 09:00:00,,,2011-01-10 00:30:00
CO-011,day_2,2011-01-11 12:00:00,,,2011-01-11 00:30:00
CO-011,day_3,2011-01-12 09:00:00,,,2011-01-12 11:15:00
CO-012,day_0,2011-01-25 11:34:00,,,slept with it
CO-012,day_1,,2011-01-26 10:10:00,2011-01-26 10:35:00,slept with it
CO-012,day_2,,2011-01-27 09:20:00,2011-01-27 10:30:00,slept with it
CO-012,day_3,,2011-01-28 08:30:00,2011-01-28 09:00:00,2011-01-28 12:30:00
CO-013,day_0,2012-06-03 11:20:00,,,2012-06-03 22:00:00
CO-013,day_1,2012-06-04 05:30:00,2012-06-04 09:45:00,2012-06-04 11:15:00,2012-06-04 22:30:00
CO-013,day_2,2012-06-05 07:15:00,,,2012-06-05 23:45:00
CO-013,day_3,2012-06-06 06:30:00,2012-06-06 09:45:00,2012-06-06 11:15:00,2012-06-06 04:45:00
CO-014,day_0,2011-02-15 13:13:00,19:35 shower,2011-02-15 20:00:00,
CO-014,day_1,,"8:30-9:30 shower, 20:00-20:30 shower",,
CO-014,day_2,,"8:00-8:30 shower, ? Shower in the evening",,
CO-014,day_3,,9:00 shower,2011-02-18 09:30:00,2011-02-18 13:30:00
CO-015,day_0,2011-03-09 12:12:00,2011-03-09 23:10:00,2011-03-09 23:30:00,
CO-015,day_1,,2011-03-10 20:30:00,2011-03-10 21:00:00,
CO-015,day_2,,2011-03-11 20:30:00,2011-03-11 21:00:00,
CO-015,day_3,,2011-03-12 15:00:00,2011-03-12 16:00:00,8:00 -day4
CO-016,day_0,2011-03-22 15:40:00,,,2011-03-22 01:00:00
CO-016,day_1,2011-03-23 10:30:00,,,2011-03-23 01:00:00
CO-016,day_2,2011-03-24 09:45:00,,,2011-03-24 00:45:00
CO-016,day_3,2011-03-25 09:30:00,,,2011-03-25 15:30:00
CO-017,day_0,2011-05-15 15:45:00,,,2011-05-15 22:00:00
CO-017,day_1,2011-05-16 10:10:00,16:00-17:30 rest,2011-05-16 17:30:00,1900-01-01 00:00:00
CO-017,day_2,2011-05-17 09:00:00,14:15-15:30 rest,2011-05-17 15:30:00,2011-05-17 22:35:00
CO-017,day_3,2011-05-18 10:30:00,,,2011-05-18 16:00:00
CO-019,day_0,2011-07-05 12:45:00,,,
CO-019,day_1,,2011-07-06 16:30:00,2011-07-06 17:30:00,
CO-019,day_2,,2011-07-07 11:00:00,2011-07-07 11:30:00,
CO-019,day_3,,,,2011-07-08 13:00:00
CO-020,day_0,2011-07-05 12:50:00,,,
CO-020,day_1,,2011-07-06 08:30:00,2011-07-06 09:00:00,2011-07-06 22:00:00
CO-020,day_2,2011-07-07 07:00:00,2011-07-07 10:30:00,2011-07-07 11:15:00,2011-07-07 22:15:00
CO-020,day_3,2011-07-08 06:30:00,2011-07-08 08:30:00,2011-07-08 09:00:00,2011-07-08 13:00:00
CO-021,day_0,2011-07-07 12:50:00,2011-07-07 17:50:00,2011-07-07 19:20:00,2011-07-07 22:05:00
CO-021,day_1,2011-07-08 08:15:00,12:35 rest,2011-07-08 17:10:00,2011-07-08 21:50:00
CO-021,day_2,2011-07-09 08:25:00,2011-07-09 13:40:00,2011-07-09 16:50:00,2011-07-09 22:15:00
CO-021,day_3,2011-07-10 07:50:00,,,2011-07-10 13:00:00
CO-022,day_0,2011-08-10 11:10:00,,,2011-08-10 21:30:00
CO-022,day_1,2011-08-11 06:30:00,17:15 shower,2011-08-11 18:00:00,2011-08-11 21:30:00
CO-022,day_2,2011-08-12 07:00:00,18:00-18:30 shower,,2011-08-12 21:30:00
CO-022,day_3,2011-08-13 06:45:00,,,2011-08-13 11:20:00
CO-023,day_0,2011-08-24 14:25:00,,,2011-08-24 00:30:00
CO-023,day_1,2011-08-25 06:30:00,,,2011-08-25 00:30:00
CO-023,day_2,2011-08-26 07:30:00,,,2011-08-26 01:30:00
CO-023,day_3,2011-08-27 07:30:00,,,2011-08-27 16:30:00
CO-024,day_0,2012-01-18 13:40:00,,,
CO-024,day_1,,,,2012-01-19 19:25:00
CO-024,day_2,,,,
CO-024,day_3,,,,
CO-026,day_0,2012-07-05 15:50:00,2012-07-05 17:55:00,2012-07-05 18:00:00,2012-07-05 22:55:00
CO-026,day_1,2012-07-06 06:45:00,2012-07-06 08:00:00,2012-07-06 08:30:00,2012-07-06 23:30:00
CO-026,day_2,2012-07-07 07:15:00,2012-07-07 10:05:00,2012-07-07 10:50:00,2012-07-07 23:55:00
CO-026,day_3,2012-07-08 08:15:00,,,2012-07-08 14:30:00
CO-027,day_0,2012-04-22 11:05:00,,,2012-04-22 22:00:00
CO-027,day_1,2012-04-23 06:00:00,,,2012-04-23 22:30:00
CO-027,day_2,2012-04-24 06:30:00,,,2012-04-24 22:35:00
CO-027,day_3,2012-04-25 05:45:00,,,2012-04-25 22:00:00
CO-028,day_0,2012-06-04 12:25:00,,,2012-06-04 23:00:00
CO-028,day_1,2012-06-05 12:00:00,,,2012-06-05 22:30:00
CO-028,day_2,2012-06-06 08:00:00,,,2012-06-06 22:00:00
CO-028,day_3,?,,,?
CO-029,day_0,2011-08-14 13:00:00?,,,
CO-029,day_1,,,,
CO-029,day_2,,,,
CO-029,day_3,,,,
CO-030,day_0,2012-04-30 14:30:00,,,slept with it
CO-030,day_1,,2012-05-01 09:00:00,2012-05-01 10:00:00,slept with it
CO-030,day_2,,2012-05-02 07:45:00,2012-05-02 09:50:00,slept with it
CO-030,day_3,,,,2012-05-03 10:25:00
CO-031,day_0,2012-03-15 15:33:00,,,2012-03-15 23:15:00
CO-031,day_1,2012-03-16 08:50:00,,,2012-03-16 23:15:00
CO-031,day_2,2012-03-17 09:55:00,,,2012-03-17 23:15:00
CO-031,day_3,2012-03-18 09:36:00,,,2012-03-18 15:33:00
CO-032,day_0,2012-05-21 14:30:00,,,2012-05-21 21:10:00
CO-032,day_1,2012-05-22 07:10:00,2012-05-22 13:00:00,2012-05-22 16:30:00,2012-05-22 21:40:00
CO-032,day_2,2012-05-23 07:05:00,,,2012-05-23 21:10:00
CO-032,day_3,2012-05-24 07:10:00,,,2012-05-24 12:00:00
CO-035,day_0,2012-06-07 10:50:00,14:00 rest,2012-06-07 17:00:00,2012-06-07 23:00:00
CO-035,day_1,2012-06-08 08:15:00,2012-06-08 14:50:00,2012-06-08 16:40:00,2012-06-08 02:30:00
CO-035,day_2,2012-06-09 10:40:00,14:00 rest,2012-06-09 17:15:00,2012-06-09 22:45:00
CO-035,day_3,2012-06-10 08:20:00,,,2012-06-10 14:30:00
CO-036,day_0,?,,,2012-06-07 15:00:00
CO-036,day_1,2012-06-08 10:30:00,2012-06-08 13:00:00,2012-06-08 18:00:00,2012-06-08 01:00:00
CO-036,day_2,2012-06-09 10:00:00,2012-06-09 14:00:00,2012-06-09 15:00:00,2012-06-09 22:00:00
CO-036,day_3,2012-06-10 10:00:00,,,2012-06-10 14:00:00
CO-037,day_0,2012-06-11 12:10:00,,,2012-06-11 00:00:00
CO-037,day_1,2012-06-12 16:00:00,,,2012-06-12 00:00:00
CO-037,day_2,2012-06-13 08:30:00,,,2012-06-13 23:00:00
CO-037,day_3,2012-06-14 17:15:00,,,2012-06-14 00:00:00
CO-038,day_0,,,,
CO-038,day_1,,,,
