timestamp,x,y,z,enmo
1970-01-02 16:54:00,0.040143942968175195,-0.3696190698752227,0.6284274440674359,0.011837794673771074
1970-01-02 16:55:00,-0.11241367537899077,-0.25107065288528274,0.6512500598975305,0.0115042260597758
1970-01-02 16:56:00,-0.10940913580507051,-0.2561251913781717,0.6521215114769037,0.012245480143437175
1970-01-02 16:57:00,-0.10599508803193362,-0.26159461839246895,0.6532599088283242,0.01303092887243255
1970-01-02 16:58:00,-0.1022330206285277,-0.26739982028563414,0.654668129203323,0.013816692117576
1970-01-02 16:59:00,-0.09819086994270622,-0.2734548204139836,0.6563463258081345,0.014555824112862326
1970-01-02 17:00:00,-0.0939422161011674,-0.2796679093259303,0.658291832957791,0.01519918455259505
1970-01-02 17:01:00,-0.0895653818976201,-0.28594284323294733,0.6604991132150431,0.015696399576364924
1970-01-02 17:02:00,-0.08514244316072729,-0.29218010201282896,0.6629597486203256,0.015996902897471674
1970-01-02 17:03:00,-0.08075816084432774,-0.29827819799343147,0.665662477461194,0.016051046240392875
1970-01-02 17:04:00,-0.07649884647503417,-0.304135026208189,0.6685932771255257,0.01581126767148725
1970-01-02 17:05:00,-0.07245117357081704,-0.3096492451417488,0.6717354925267587,0.015233306189623425
1970-01-02 17:06:00,-0.0687009483846142,-0.3147216741504228,0.6750700084445592,0.014277450910137974
1970-01-02 17:07:00,-0.0653318543714362,-0.3192566902232728,0.6785754629043415,0.012909813119620625
1970-01-02 17:08:00,-0.06242418669947575,-0.3231636031891802,0.6822284974454085,0.0111036091596367
1970-01-02 17:09:00,-0.06005359593117435,-0.326357985489156,0.6860040389305255,0.008840441216459974
1970-01-02 17:10:00,-0.05828986278692702,-0.3287629308465757,0.6898756067350647,0.0061115612562899
1970-01-02 17:11:00,-0.05719572741274674,-0.3303102161558224,0.6938156390494485,0.002919100004977225
1970-01-02 17:12:00,-0.05682579623730612,-0.33094134286847526,0.69779583267336,0.0
1970-01-02 17:13:00,-0.057225547784699654,-0.3306084376650822,0.7017874917591649,0.0
1970-01-02 17:14:00,-0.0584304565321698,-0.329274996430974,0.70576188209694,0.0
1970-01-02 17:15:00,-0.06046525158009253,-0.32691645963122634,0.7096905885305165,0.0
1970-01-02 17:16:00,-0.06334332471425423,-0.3235206103793952,0.713545873907965,0.0
1970-01-02 17:17:00,-0.06706630045966328,-0.3190877885166804,0.7173010385818228,0.0
1970-01-02 17:18:00,-0.0716237789044088,-0.31363091524981795,0.7209307798765011,0.0
1970-01-02 17:19:00,-0.07699326017577102,-0.3071753241313723,0.7244115511459861,0.0
1970-01-02 17:20:00,-0.08314025717025707,-0.29975839607108085,0.7277219199502638,0.0
1970-01-02 17:21:00,-0.09001860021131534,-0.29142899922121435,0.7308429240893521,0.0
1970-01-02 17:22:00,-0.09757093351603638,-0.2822467397489394,0.7337584222585808,0.0
1970-01-02 17:23:00,-0.10572939860893524,-0.27228103712877955,0.7364554329013719,0.0
1970-01-02 17:24:00,-0.11441649439496965,-0.2616100467720807,0.738924451098848,0.0
1970-01-02 17:25:00,-0.1235460982607525,-0.25031946126677457,0.7411597299696236,0.0
1970-01-02 17:26:00,-0.13302462836316245,-0.2385012267880865,0.7431595107957293,0.0
1970-01-02 17:27:00,-0.14275232487658998,-0.22625221224021466,0.7449261854743903,0.0
